// 書き方: # 年 | ○期生
//         大会名 | 成績 | 区分
//
// 区分は「県大会」「九州大会」「全国大会」のどれかを書きます。
// 大会名の左に表示されます。省くと何も表示されません。
//
// 見出しに書いた「○期生」は、卒団生のページでその期の戦績として
// そのまま表示されます（詳しくは README.txt）。

# 2027年 | 22期生

# 2026年 | 21期生
アイビック杯　OAB 2026 第15回 大分県中学生硬式野球選手権大会 | 優勝 | 県大会
全日本中学野球選手権大会ジャイアンツカップ | 2回戦敗退 | 全国大会
第57回日本少年野球選手権大会エイジェックカップ | 準決勝敗退　ベスト４ | 全国大会
2026ジャイアンツカップ九州Bブロック最終予選 | 優勝 | 九州大会
第57回日本少年野球選手権大会兼2026ホークスカップ大分県支部予選大会 | 優勝 | 県大会
2026ジャイアンツカップ大分県支部予選大会 | 優勝 | 県大会
第22回日本少年野球ミズノ旗争奪九州選抜大会 | 優勝 | 九州大会
第22回日本少年野球九州選抜大会 大分県支部予選 | 優勝 | 県大会
第56回日本少年野球春季全国大会スターゼンカップ | 1回戦敗退 | 全国大会
第23回日本少年野球 九州さわやか大会 | 準決勝敗退　ベスト４ | 九州大会
第56回日本少年野球春季全国大会兼西日本選抜優勝大会 大分県支部予選大会 | 優勝 | 県大会
第41回日本少年野球九州大会 | 1回戦敗退 | 九州大会
第41回日本少年野球九州大会 大分県支部予選大会 | 準優勝 | 県大会

# 2025年 | 20期生
第21回日本少年野球ミズノ旗争奪九州選抜大会大分県支部予選 | 優勝 | 県大会
第56回日本少年野球選手権大会兼2025ホークスカップ大分県支部予選 | 優勝 | 県大会
第41回日本少年野球九州大会 大分県支部予選大会 | 準優勝 | 県大会
第56回日本少年野球春季全国大会兼西日本選抜優勝大会 大分県支部予選大会 | 優勝 | 県大会

# 2024年 | 19期生
第20回日本少年野球九州選抜大会大分県支部予選大会 | 準優勝 | 県大会
第55回日本少年野球選手権大会兼2024ホークス杯 大分県支部予選大会 | 優勝 | 県大会
2024ジャイアンツカップ 大分県支部予選大会 | 優勝 | 県大会
第40回日本少年野球連盟九州大会大分県支部予選 | 準優勝 | 県大会
第40回日本少年野球九州大会 | 準優勝 | 九州大会

# 2023年 | 18期生
第20回日本少年野球九州さわやか大会 | 準優勝 | 九州大会
第53回春季全国大会 | 準決勝敗退　ベスト４ | 全国大会
2023ジャイアンツカップ大分県支部予選 | 優勝 | 県大会
2023ホークスカップ大分県支部予選 | 優勝 | 県大会
第23回日本少年野球熊本大会 | 優勝 | 九州大会
第54回日本少年野球選手権大会大分県支部予選 | 準優勝 | 県大会
2023ジャイアンツカップBブロック予選 | 準優勝 | 九州大会
第19回 日本少年野球九州選抜大会 | 優勝 | 九州大会
第2回日本少年野球ナガセケンコー旗争奪大分大会 | 優勝 | 県大会
第39回日本少年野球九州大会大分県支部予選大会 | 優勝 | 県大会
第39回日本少年野球九州大会 | 準優勝 | 九州大会
第54回春季全国大会大分県支部予選大会 | 準優勝 | 県大会
第10回日本少年野球長﨑傳記念大会 | 優勝 | 九州大会
第1回日本少年野球ナガセケンコー旗争奪大分大会 | 優勝 | 県大会

# 2022年 | 17期生
第52回日本少年野球春季全国大会 | 3回戦敗退　ベスト16 | 全国大会
第18回日本少年野球ミズノ旗争奪九州選抜大会大分県支部予選 | 優勝 | 県大会
第18回日本少年野球ミズノ旗争奪九州選抜大会 | 優勝 | 九州大会
第22回日本少年野球熊本大会 | 優勝 | 九州大会
第53回日本少年野球選手権大会大分県支部予選 | 優勝 | 県大会
第16回日本少年野球　宮崎大会 | 準優勝 | 九州大会
第53回日本少年野球選手権大会 | 1回戦敗退 | 全国大会
第11回大分県中学生硬式野球選手権大会 | 優勝 | 県大会
第38回日本少年野球九州大会 | ベスト４ | 九州大会
第53回春季全国大会大分県支部予選大会 | 優勝 | 県大会

# 2021年 | 16期生
第18回日本少年野球九州さわやか大会 | 優勝 | 九州大会
第51回春季全国大会 | 1回戦敗退 | 全国大会
第17回日本少年野球九州選抜大会大分県支部予選 | 準優勝 | 県大会
2021ジャイアンツカップ大分県支部予選 | 優勝 | 県大会
2021ホークスカップ大分県支部予選 | 準優勝 | 県大会
第52回選手権大会大分県支部予選 | 優勝 | 県大会
第15回　日本少年野球　宮崎大会 | 優勝 | 九州大会
第52回 日本少年野球選手権大会 | 1回戦敗退 | 全国大会
第37回九州大会大分県支部予選大会 | 優勝 | 県大会
第9回日本少年野球長﨑傳記念大会 | 準優勝 | 九州大会
第52回日本少年野球春季全国大会大分県支部予選大会 | 優勝 | 県大会

# 2020年 | 15期生
第51回春季全国大会大分県支部予選 | 優勝 | 県大会
第36回九州大会大分県支部予選大会 | 準優勝 | 県大会
大分県中学生硬式野球選手権大会2020 | 優勝 | 県大会
第14回日本少年野球 宮崎大会 | 準優勝 | 九州大会
第51回日本少年野球選手権大会大分県支部予選 | 準優勝 | 県大会

# 2017年 | 12期生
春季全国大会 | 2回戦敗退 | 全国大会
夏季全国大会 | ベスト8 | 全国大会

# 2016年 | 11期生
春季全国大会 | ベスト8 | 全国大会
夏季全国大会 | ベスト4 | 全国大会
